Id;Pregunta;Tema;Dificultad;Tipo;A;B;C;D;Correcta
337;¿Qué es el riesgo sistemático? (variante);Anàlisi de Dades Financeres;Dificil;Teoria;Riesgo específico;Riesgo no diversificable;Volatilidad;Beta negativa;B
338;¿Qué es el VaR (Value at Risk)?;Anàlisi de Dades Financeres;Dificil;Teoria;Beta;Pérdida máxima esperada con cierta probabilidad;Alpha;Volatilidad;B
339;¿Qué mide el coeficiente Gini?;Anàlisi de Dades Financeres;Dificil;Teoria;Pobreza;Desempleo;Inflación;Desigualdad de ingresos;D
340;¿Qué mide el coeficiente Gini?;Anàlisi de Dades Financeres;Dificil;Teoria;Pobreza;Desempleo;Inflación;Desigualdad de ingresos;D
341;Capitalización 1M acciones precio 10€ ¿acciones?;Anàlisi de Dades Financeres;Facil;Calculo;Ninguna de las anteriores;100000;1;10000;B
342;Rendimientos 10% 20% ¿volatilidad si independientes?;Anàlisi de Dades Financeres;Facil;Calculo;5%;Aprox 14%;15%;30%;B
343;10 acciones a 50€ ¿valor total?;Anàlisi de Dades Financeres;Facil;Calculo;500€;50;500;10;A
344;¿Qué es el valor de Shapley?;Anàlisi de Dades Financeres;Facil;Calculo;Contribución marginal promedio;Core;Núcleo;Nash;A
345;¿Qué es el valor de Shapley?;Anàlisi de Dades Financeres;Facil;Calculo;Contribución marginal promedio;Núcleo;Nash;Core;A
346;¿Qué es el riesgo sistemático?;Anàlisi de Dades Financeres;Facil;Calculo;No diversificable, de mercado;Residual;Específico;Idiosincrático;A
347;PMC=0.8 ¿multiplicador keynesiano?;Anàlisi de Dades Financeres;Facil;Calculo;0.8;5;1.25;4;B
348;Retorno 10%, 20%. ¿Media?;Anàlisi de Dades Financeres;Facil;Calculo;20%;10%;15%;30%;C
349;¿Cuántos periodos en anualidad 5 años?;Anàlisi de Dades Financeres;Facil;Calculo;1;10;20;5;D
350;Interés 5% anual. 100€ en 1 año?;Anàlisi de Dades Financeres;Facil;Calculo;110;100;95;105;D
351;¿Qué es el tipo de interés real?;Anàlisi de Dades Financeres;Facil;Calculo;Legal;Efectivo;Nominal menos inflación esperada;Nominal;C
352;Volatilidad 20%. ¿Varianza aprox?;Anàlisi de Dades Financeres;Media;Calculo;0.02;0.2;0.04;4;C
353;PIB nominal 110 real 100 ¿deflactor?;Anàlisi de Dades Financeres;Media;Calculo;10%;1.1;10;110;B
354;Dividendo 2€ por acción 100 acciones ¿total?;Anàlisi de Dades Financeres;Media;Calculo;2;50;200€;200;C
355;3 vidas medias ¿fracción restante?;Anàlisi de Dades Financeres;Media;Calculo;3;1/3;0.125;1/8;D
356;Déficit 5% PIB PIB=1000 ¿déficit en unidades?;Anàlisi de Dades Financeres;Media;Calculo;5;500;50;100;C
357;Beta=1.5, mercado sube 10%. ¿Activo esperado?;Anàlisi de Dades Financeres;Media;Calculo;1.5;5%;15%;10%;C
358;PIB nominal 110, real 100. ¿Deflactor?;Anàlisi de Dades Financeres;Media;Calculo;110;1.1;10%;10;B
359;PMC=0.8. ¿Multiplicador keynesiano?;Anàlisi de Dades Financeres;Media;Calculo;0.8;4;1.25;5;D
360;Volatilidad 20%. ¿Varianza aprox?;Anàlisi de Dades Financeres;Media;Calculo;0.02;0.2;4;0.04;D
361;Si inflación 5%, ¿precio real de 100€ nominales?;Anàlisi de Dades Financeres;Media;Calculo;100;100*(1+5/100);100/(1+5/100);5;C
362;PIB nominal 110, real 100. ¿Deflactor?;Anàlisi de Dades Financeres;Media;Calculo;10;10%;1.1;110;C
363;Beta=1.5, mercado sube 10%. ¿Activo esperado?;Anàlisi de Dades Financeres;Media;Calculo;15%;5%;1.5;10%;A
364;Si inflación 2%, ¿precio real de 100€ nominales?;Anàlisi de Dades Financeres;Dificil;Calculo;100/(1+2/100);100;100*(1+2/100);2;A
365;Rendimiento 12.6% rf 3% beta 1.2 E(Rm)=10% ¿alpha?;Anàlisi de Dades Financeres;Dificil;Calculo;2.4%;-1.2%;1.2%;0%;C
366;Multiplicador k=2 gasto público +50 ¿incremento PIB?;Anàlisi de Dades Financeres;Dificil;Calculo;100;75;25;50;A
367;Beta=1.5 mercado sube 10% ¿activo esperado?;Anàlisi de Dades Financeres;Dificil;Calculo;5%;15%;1.5;10%;B
368;Renta 2000 ahorro 400 ¿propensión marginal a ahorrar si PMC=0.7?;Anàlisi de Dades Financeres;Dificil;Calculo;0.5;0.3;0.2;0.7;B
369;Excedente consumidor 100 productor 80 impuesto 20 ¿excedente total inicial?;Anàlisi de Dades Financeres;Dificil;Calculo;180;100;200;80;A
370;PIB 500 consumo 350 inversión 100 ¿gasto público si X-M=0?;Anàlisi de Dades Financeres;Dificil;Calculo;100;Ninguna de las anteriores;150;50;D
371;Excedente consumidor: dispuesto 50 paga 30 ¿excedente?;Anàlisi de Dades Financeres;Dificil;Calculo;30;80;20;50;C
372;Margin 10% posición 5000€ ¿colateral?;Anàlisi de Dades Financeres;Dificil;Calculo;500€;50;5000;500;A
373;Si el riesgo en expuestos es 0.2 y en no expuestos 0.05 ¿riesgo relativo?;Anàlisi de Dades Financeres;Dificil;Calculo;0.25;4;5;0.15;B
374;1 euro = 1.1 dólares ¿tipo de cambio?;Anàlisi de Dades Financeres;Dificil;Calculo;1.21;1;1.1;0.91;C
375;Si inflación 10%, ¿precio real de 100€ nominales?;Anàlisi de Dades Financeres;Dificil;Calculo;100*(1+10/100);100;100/(1+10/100);10;C
376;¿Qué es una serie temporal?;Anàlisi de Dades Temporals;Facil;Teoria;Secuencia de observaciones ordenadas en el tiempo;Muestra aleatoria;Datos independientes;Datos transversales;A
377;¿Qué es la electronegatividad?;Anàlisi de Dades Temporals;Facil;Teoria;Valencia;Tendencia a atraer electrones;Masa;Radio;B
378;¿Qué es la tendencia en una serie temporal?;Anàlisi de Dades Temporals;Facil;Teoria;Componente de largo plazo;Ruido;Estacionalidad;Ciclo;A
379;¿Cómo se define una media móvil?;Anàlisi de Dades Temporals;Facil;Teoria;Mediana;Moda;Media aritmética;Promedio sobre ventana deslizante;D
380;¿Cómo se define una media móvil?;Anàlisi de Dades Temporals;Facil;Teoria;Moda;Promedio sobre ventana deslizante;Mediana;Media aritmética;B
381;¿Cómo se define la tendencia en una serie temporal?;Anàlisi de Dades Temporals;Facil;Teoria;Ruido;Componente de largo plazo;Estacionalidad;Ciclo;B
382;¿Qué es la tendencia en una serie temporal?;Anàlisi de Dades Temporals;Facil;Teoria;Estacionalidad;Ruido;Componente de largo plazo;Ciclo;C
383;¿Cómo se define la tendencia en una serie temporal?;Anàlisi de Dades Temporals;Facil;Teoria;Componente de largo plazo;Estacionalidad;Ciclo;Ruido;A
384;¿Qué es una media móvil? (variante);Anàlisi de Dades Temporals;Facil;Teoria;Moda;Promedio sobre ventana deslizante;Media aritmética;Mediana;B
385;¿Qué es el ciclo económico?;Anàlisi de Dades Temporals;Facil;Teoria;Fluctuaciones de la actividad económica en el tiempo;Estacionalidad;Tendencia;Lineal;A
386;¿Qué es la ventana de predicción?;Anàlisi de Dades Temporals;Facil;Teoria;Tamaño del entrenamiento;Orden del modelo;Horizonte temporal a predecir;Lag máximo;C
387;¿Qué es una media móvil?;Anàlisi de Dades Temporals;Facil;Teoria;Media aritmética;Moda;Mediana;Promedio sobre ventana deslizante;D
388;¿Qué es el test de Dickey-Fuller?;Anàlisi de Dades Temporals;Media;Teoria;Test de homocedasticidad;Test de estacionariedad;Test t;Test de normalidad;B
389;¿Qué es una serie temporal estacionaria?;Anàlisi de Dades Temporals;Media;Teoria;Sin tendencia;Media y varianza constantes en el tiempo;Periódica;Determinística;B
390;¿Cómo se define una serie temporal estacionaria?;Anàlisi de Dades Temporals;Media;Teoria;Media y varianza constantes en el tiempo;Determinística;Sin tendencia;Periódica;A
391;¿Cómo se define la ventana de predicción?;Anàlisi de Dades Temporals;Media;Teoria;Lag máximo;Horizonte temporal a predecir;Tamaño del entrenamiento;Orden del modelo;B
392;¿Cómo se define una serie temporal estacionaria?;Anàlisi de Dades Temporals;Media;Teoria;Sin tendencia;Determinística;Media y varianza constantes en el tiempo;Periódica;C
393;¿Cómo se define la ventana de predicción?;Anàlisi de Dades Temporals;Media;Teoria;Orden del modelo;Tamaño del entrenamiento;Horizonte temporal a predecir;Lag máximo;C
394;¿Cómo se define una serie temporal estacionaria?;Anàlisi de Dades Temporals;Media;Teoria;Media y varianza constantes en el tiempo;Sin tendencia;Determinística;Periódica;A
395;¿Cómo se define la ventana de predicción?;Anàlisi de Dades Temporals;Media;Teoria;Lag máximo;Orden del modelo;Horizonte temporal a predecir;Tamaño del entrenamiento;C
396;¿Qué es una serie temporal estacionaria?;Anàlisi de Dades Temporals;Media;Teoria;Media y varianza constantes en el tiempo;Periódica;Sin tendencia;Determinística;A
397;¿Qué es una serie temporal estacionaria?;Anàlisi de Dades Temporals;Media;Teoria;Sin tendencia;Determinística;Periódica;Media y varianza constantes en el tiempo;D
398;¿Qué es una serie temporal estacionaria? (variante);Anàlisi de Dades Temporals;Media;Teoria;Media y varianza constantes en el tiempo;Determinística;Sin tendencia;Periódica;A
399;¿Qué es la raíz unitaria?;Anàlisi de Dades Temporals;Media;Teoria;Eigenvalor 1;Punto fijo;Raíz de un polinomio;Problema en series no estacionarias;D
400;¿Qué es una serie temporal estacionaria?;Anàlisi de Dades Temporals;Media;Teoria;Sin tendencia;Periódica;Media y varianza constantes en el tiempo;Determinística;C
401;¿Cómo se define la tendencia en una serie temporal?;Anàlisi de Dades Temporals;Dificil;Teoria;Ciclo;Componente de largo plazo;Ruido;Estacionalidad;B
402;¿Qué es la descomposición de una serie?;Anàlisi de Dades Temporals;Dificil;Teoria;Solo tendencia;Separar tendencia estacionalidad y residual;Solo ACF;Solo PACF;B
403;¿Qué es un proceso ARIMA(p,d,q)?;Anàlisi de Dades Temporals;Dificil;Teoria;Solo AR;ARMA;ARIMA con diferenciación d;Solo MA;C
404;¿Qué es la raíz unitaria? (variante);Anàlisi de Dades Temporals;Dificil;Teoria;Eigenvalor 1;Punto fijo;Raíz de polinomio;Problema en series no estacionarias;D
405;¿Qué es el test de Dickey-Fuller aumentado? (variante);Anàlisi de Dades Temporals;Dificil;Teoria;Test t;Test de heterocedasticidad;Test de normalidad;Test de estacionariedad;D
406;¿Qué es un proceso ARIMA(p,d,q)? (variante);Anàlisi de Dades Temporals;Dificil;Teoria;ARMA;Solo MA;Solo AR;ARIMA con diferenciación d;D
407;¿Qué es la raíz unitaria? (variante);Anàlisi de Dades Temporals;Dificil;Teoria;Eigenvalor 1;Raíz de polinomio;Punto fijo;Problema en series no estacionarias;D
408;¿Qué es el test de Dickey-Fuller aumentado? (variante);Anàlisi de Dades Temporals;Dificil;Teoria;Test de normalidad;Test de heterocedasticidad;Test t;Test de estacionariedad;D
409;¿Qué es la raíz unitaria? (variante);Anàlisi de Dades Temporals;Dificil;Teoria;Punto fijo;Eigenvalor 1;Problema en series no estacionarias;Raíz de polinomio;C
410;¿Qué es el test de Dickey-Fuller aumentado? (variante);Anàlisi de Dades Temporals;Dificil;Teoria;Test de estacionariedad;Test de normalidad;Test t;Test de heterocedasticidad;A
411;¿Qué es la raíz unitaria?;Anàlisi de Dades Temporals;Dificil;Teoria;Raíz de polinomio;Punto fijo;Eigenvalor 1;Problema en series no estacionarias;D
412;¿Qué es la raíz unitaria? (variante);Anàlisi de Dades Temporals;Dificil;Teoria;Problema en series no estacionarias;Raíz de polinomio;Eigenvalor 1;Punto fijo;A
413;¿Qué es la raíz unitaria?;Anàlisi de Dades Temporals;Dificil;Teoria;Problema en series no estacionarias;Raíz de polinomio;Eigenvalor 1;Punto fijo;A
414;Tendencia lineal: pendiente 2, ordenada 1. Valor en t=3?;Anàlisi de Dades Temporals;Facil;Calculo;7;3;5;6;A
415;¿Qué hace la función MAX?;Anàlisi de Dades Temporals;Facil;Calculo;Promedio;Devuelve el valor máximo;Mínimo;Suma;B
416;2^10?;Anàlisi de Dades Temporals;Facil;Calculo;256;1024;2048;512;B
417;Media móvil de [1,2,3,4,5] ventana 3?;Anàlisi de Dades Temporals;Facil;Calculo;[1,2,3];[2,3,4];[2,3];[3,4,5];B
418;¿Cuántos lags en AR(3)?;Anàlisi de Dades Temporals;Facil;Calculo;1;0;2;3;D
419;Autocorrelación lag 0?;Anàlisi de Dades Temporals;Facil;Calculo;0;0.5;1;-1;C
420;Media móvil de [1,2,3,4,5] ventana 3?;Anàlisi de Dades Temporals;Facil;Calculo;[3,4,5];[2,3,4];[2,3];[1,2,3];B
421;Media móvil de [1,2,3,4,5] ventana 3?;Anàlisi de Dades Temporals;Facil;Calculo;[3,4,5];[2,3,4];[1,2,3];[2,3];B
422;¿Cuántos lags en AR(3)?;Anàlisi de Dades Temporals;Facil;Calculo;2;1;3;0;C
423;Autocorrelación lag 0?;Anàlisi de Dades Temporals;Facil;Calculo;-1;1;0;0.5;B
424;Media de serie [10,20,30]?;Anàlisi de Dades Temporals;Facil;Calculo;15;60;25;20;D
425;¿Cuántos coeficientes en MA(2)?;Anàlisi de Dades Temporals;Facil;Calculo;2;1;0;3;A
426;¿Cuántos lags en AR(3)?;Anàlisi de Dades Temporals;Facil;Calculo;2;1;3;0;C
427;Media móvil de [1,2,3,4,5] ventana 3?;Anàlisi de Dades Temporals;Media;Calculo;[3,4,5];[1,2,3];[2,3];[2,3,4];D
428;¿Cuál es la solución de dy/dx=cos(x)?;Anàlisi de Dades Temporals;Media;Calculo;y=sen(x)+C;y=sen(x);y=cos(x);y=-cos(x)+C;A
429;¿Cuántas observaciones para ARIMA(1,0,1)?;Anàlisi de Dades Temporals;Media;Calculo;≥2;1;0;10;A
430;¿Cuántas observaciones para ARIMA(1,0,1)?;Anàlisi de Dades Temporals;Media;Calculo;1;0;≥2;10;C
431;¿Cuál es la solución de dy/dx=y con y(0)=1?;Anàlisi de Dades Temporals;Media;Calculo;y=1;y=x;y=e^x;y=0;C
432;Media móvil de [1,2,3,4,5] ventana 3? (variante);Anàlisi de Dades Temporals;Media;Calculo;[2,3,4];[3,4,5];[1,2,3];[2,3];A
433;¿Cuál es el punto medio del intervalo [0,2]?;Anàlisi de Dades Temporals;Media;Calculo;1;0.5;0;2;A
434;¿Qué devuelve max(3, 7, 2)?;Anàlisi de Dades Temporals;Media;Calculo;2;12;3;7;D
435;Ley Ohm V=12V R=4Ω ¿corriente?;Anàlisi de Dades Temporals;Media;Calculo;3 A;0.33;3;48;A
436;¿Cuántas incógnitas por nodo en calor 1D?;Anàlisi de Dades Temporals;Media;Calculo;0;2;1;3;C
437;ARIMA(1 1 1) ¿cuántos parámetros p d y q?;Anàlisi de Dades Temporals;Media;Calculo;p=1 d=1 q=1;2;3;1;C
438;¿Cuántas observaciones para ARIMA(1,0,1)?;Anàlisi de Dades Temporals;Media;Calculo;0;10;≥2;1;C
439;Tendencia lineal: pendiente 2, ordenada 1. Valor en t=3?;Anàlisi de Dades Temporals;Dificil;Calculo;3;6;5;7;D
440;Para la serie 2 4 6 8 10 ¿media móvil de orden 2 en t=5?;Anàlisi de Dades Temporals;Dificil;Calculo;9;10;6;8;A
441;Tendencia lineal: pendiente 2, ordenada 1. Valor en t=3?;Anàlisi de Dades Temporals;Dificil;Calculo;3;7;6;5;B
442;¿Cuántas diferenciaciones para serie con tendencia lineal?;Anàlisi de Dades Temporals;Dificil;Calculo;2;1;3;0;B
443;Dickey-Fuller p=0.02 ¿conclusión sobre estacionariedad?;Anàlisi de Dades Temporals;Dificil;Calculo;Heterocedástico;No concluyente;Estacionario;Raíz unitaria;C
444;¿Cuáles son las raíces de r²+4r+4=0?;Anàlisi de Dades Temporals;Dificil;Calculo;r=±2;r=0;r=4;r=-2 doble;D
445;¿Cuántas dimensiones en caminata aleatoria 1D?;Anàlisi de Dades Temporals;Dificil;Calculo;3;1;2;0;B
446;¿Cuál es la solución de y''+4y=0?;Anàlisi de Dades Temporals;Dificil;Calculo;y=C;y=x;y=C1·cos(2x)+C2·sen(2x);y=e^(2x);C
447;¿Qué valor tiene s tras s=0 y for i en [1,2,3] hacer s=s+i?;Anàlisi de Dades Temporals;Dificil;Calculo;1;0;6;3;C
448;Drawdown de 100 a 80 ¿porcentaje?;Anàlisi de Dades Temporals;Dificil;Calculo;-20%;20%;80%;25%;B
449;2 conv 3x3 receptive field total?;Anàlisi de Dades Temporals;Dificil;Calculo;5;9;6;Ninguna de las anteriores;A
450;¿Cuál es el rango de [[1,2,3],[2,4,6],[1,1,1]]?;Anàlisi de Dades Temporals;Dificil;Calculo;3;0;1;2;D
451;¿Qué es la corrección K?;Anàlisi de Dades en Astrofísica;Facil;Teoria;Corrección para pasar de un filtro a otro;Paralaje;Extinción galáctica;Corrección de redshift;A
452;¿Qué es el redshift?;Anàlisi de Dades en Astrofísica;Facil;Teoria;Color de una estrella;Desplazamiento al rojo por efecto Doppler cosmológico;Masa estelar;Temperatura superficial;B
453;¿Qué es la paralaje?;Anàlisi de Dades en Astrofísica;Facil;Teoria;Brillo aparente;Espectro de absorción;Órbita planetaria;Método para medir distancias estelares por triangulación;D
454;¿Qué es un cuerpo negro?;Anàlisi de Dades en Astrofísica;Facil;Teoria;Agujero negro;Planeta;Nebulosa;Absorbedor y emisor perfecto de radiación;D
455;¿Qué es la función de luminosidad?;Anàlisi de Dades en Astrofísica;Facil;Teoria;Magnitud absoluta;Brillo aparente;Distribución del número de objetos por luminosidad;Espectro de energía;C
456;¿Qué es la datación radiométrica?;Anàlisi de Dades en Astrofísica;Facil;Teoria;Fotometría;Determinar edad por desintegración de isótopos;Espectroscopía;Medir distancias;B
457;¿Qué es la corrección K?;Anàlisi de Dades en Astrofísica;Facil;Teoria;Corrección para pasar de un filtro a otro;Extinción galáctica;Corrección de redshift;Paralaje;A
458;¿Qué es el redshift? (variante);Anàlisi de Dades en Astrofísica;Facil;Teoria;Desplazamiento al rojo por efecto Doppler cosmológico;Temperatura superficial;Color de una estrella;Masa estelar;A
459;¿Qué es el redshift?;Anàlisi de Dades en Astrofísica;Facil;Teoria;Desplazamiento al rojo por efecto Doppler cosmológico;Temperatura superficial;Color de una estrella;Masa estelar;A
460;¿Qué es la paralaje?;Anàlisi de Dades en Astrofísica;Facil;Teoria;Espectro de absorción;Brillo aparente;Método para medir distancias estelares por triangulación;Órbita planetaria;C
461;¿Qué es un cuerpo negro?;Anàlisi de Dades en Astrofísica;Facil;Teoria;Planeta;Nebulosa;Absorbedor y emisor perfecto de radiación;Agujero negro;C
462;¿Qué es la función de luminosidad?;Anàlisi de Dades en Astrofísica;Facil;Teoria;Brillo aparente;Magnitud absoluta;Espectro de energía;Distribución del número de objetos por luminosidad;D
463;¿Qué es la fotometría diferencial?;Anàlisi de Dades en Astrofísica;Facil;Teoria;PSF;Absoluta;Comparar objeto con estrellas de referencia;De apertura;C
464;¿Cómo se define la magnitud aparente?;Anàlisi de Dades en Astrofísica;Media;Teoria;Temperatura;Brillo observado desde la Tierra;Luminosidad;Magnitud absoluta;B
465;¿Qué relaciona la ley de Hubble?;Anàlisi de Dades en Astrofísica;Media;Teoria;Masa y luminosidad;Temperatura y color;Edad del universo;Velocidad de recesión proporcional a distancia;D
466;¿Cómo se define la corrección K?;Anàlisi de Dades en Astrofísica;Media;Teoria;Paralaje;Corrección de redshift;Corrección para pasar de un filtro a otro;Extinción galáctica;C
467;¿Cómo se define la datación radiométrica?;Anàlisi de Dades en Astrofísica;Media;Teoria;Determinar edad por desintegración de isótopos;Medir distancias;Fotometría;Espectroscopía;A
468;¿Cómo se define la corrección K?;Anàlisi de Dades en Astrofísica;Media;Teoria;Extinción galáctica;Paralaje;Corrección para pasar de un filtro a otro;Corrección de redshift;C
469;¿Cómo se define la datación radiométrica?;Anàlisi de Dades en Astrofísica;Media;Teoria;Determinar edad por desintegración de isótopos;Fotometría;Espectroscopía;Medir distancias;A
470;¿Cómo se define la función de luminosidad?;Anàlisi de Dades en Astrofísica;Media;Teoria;Distribución del número de objetos por luminosidad;Espectro de energía;Brillo aparente;Magnitud absoluta;A
471;¿Cómo se define la corrección K?;Anàlisi de Dades en Astrofísica;Media;Teoria;Paralaje;Corrección para pasar de un filtro a otro;Corrección de redshift;Extinción galáctica;B
472;¿Cómo se define la datación radiométrica?;Anàlisi de Dades en Astrofísica;Media;Teoria;Medir distancias;Fotometría;Determinar edad por desintegración de isótopos;Espectroscopía;C
473;¿Cómo se define la extinción interestelar?;Anàlisi de Dades en Astrofísica;Media;Teoria;Paralaje;Atenuación de luz por polvo;Redshift;Refracción;B
474;¿Qué relaciona la ley de Hubble?;Anàlisi de Dades en Astrofísica;Media;Teoria;Masa y luminosidad;Temperatura y color;Edad del universo;Velocidad de recesión proporcional a distancia;D
475;¿Qué relaciona la ley de Hubble?;Anàlisi de Dades en Astrofísica;Media;Teoria;Edad del universo;Masa y luminosidad;Velocidad de recesión proporcional a distancia;Temperatura y color;C
476;¿Qué es la función de luminosidad?;Anàlisi de Dades en Astrofísica;Media;Teoria;Distribución del número de objetos por luminosidad;Brillo aparente;Flujo;Magnitud absoluta;A
477;¿Cómo se define la función de luminosidad?;Anàlisi de Dades en Astrofísica;Dificil;Teoria;Magnitud absoluta;Espectro de energía;Brillo aparente;Distribución del número de objetos por luminosidad;D
478;¿Cómo se define la función de luminosidad?;Anàlisi de Dades en Astrofísica;Dificil;Teoria;Brillo aparente;Magnitud absoluta;Espectro de energía;Distribución del número de objetos por luminosidad;D
479;¿De qué concepto se trata cuando: qué relaciona la ley de hubble?;Anàlisi de Dades en Astrofísica;Dificil;Teoria;Edad del universo;Velocidad de recesión proporcional a distancia;Masa y luminosidad;Temperatura y color;B
480;¿De qué concepto se trata cuando: qué relaciona la ley de hubble?;Anàlisi de Dades en Astrofísica;Dificil;Teoria;Masa y luminosidad;Temperatura y color;Edad del universo;Velocidad de recesión proporcional a distancia;D
481;¿De qué concepto se trata cuando: qué relaciona la ley de hubble?;Anàlisi de Dades en Astrofísica;Dificil;Teoria;Masa y luminosidad;Edad del universo;Velocidad de recesión proporcional a distancia;Temperatura y color;C
482;¿Qué es la corrección K en fotometría?;Anàlisi de Dades en Astrofísica;Dificil;Teoria;Extinción;Redshift;Paralaje;Corrección para pasar de un filtro a otro;D
483;¿Qué es la datación radiométrica? (variante);Anàlisi de Dades en Astrofísica;Dificil;Teoria;Medir distancias;Espectroscopía;Determinar edad por desintegración de isótopos;Fotometría;C
484;¿Qué es la corrección K en fotometría? (variante);Anàlisi de Dades en Astrofísica;Dificil;Teoria;Corrección para pasar de un filtro a otro;Paralaje;Extinción;Redshift;A
485;¿Qué es la corrección K en fotometría?;Anàlisi de Dades en Astrofísica;Dificil;Teoria;Extinción;Paralaje;Redshift;Corrección para pasar de un filtro a otro;D
486;¿Qué es la corrección K en fotometría?;Anàlisi de Dades en Astrofísica;Dificil;Teoria;Extinción;Paralaje;Redshift;Corrección para pasar de un filtro a otro;D
487;¿Qué es la corrección K en fotometría?;Anàlisi de Dades en Astrofísica;Dificil;Teoria;Paralaje;Corrección para pasar de un filtro a otro;Redshift;Extinción;B
488;¿Qué es la corrección K en fotometría?;Anàlisi de Dades en Astrofísica;Dificil;Teoria;Corrección para pasar de un filtro a otro;Paralaje;Redshift;Extinción;A
489;¿Qué es la corrección K en fotometría? (variante);Anàlisi de Dades en Astrofísica;Dificil;Teoria;Redshift;Corrección para pasar de un filtro a otro;Extinción;Paralaje;B
490;Paralaje 0.1 arcsec ¿distancia en pc?;Anàlisi de Dades en Astrofísica;Facil;Calculo;0.1;10;100;Ninguna de las anteriores;B
491;Redshift z=1 ¿factor expansión?;Anàlisi de Dades en Astrofísica;Facil;Calculo;2;Ninguna de las anteriores;0.5;1;A
492;Flujo L/(4πd²). L=4π, d=1. ¿Flujo?;Anàlisi de Dades en Astrofísica;Facil;Calculo;0.25;1;4;4π;B
493;Flujo L/(4πd²). L=4π, d=1. ¿Flujo?;Anàlisi de Dades en Astrofísica;Facil;Calculo;1;0.25;4;4π;A
494;¿Qué devuelve f(2) si f(x)=x*2?;Anàlisi de Dades en Astrofísica;Facil;Calculo;2;4;0;1;B
495;Compra 100 vende 75 ¿pérdida %?;Anàlisi de Dades en Astrofísica;Facil;Calculo;25;75;25%;33;C
496;Paralaje 0.01 arcsec ¿distancia?;Anàlisi de Dades en Astrofísica;Facil;Calculo;1000;10;100 pc;100;C
497;Flujo L/(4πd²). L=4π, d=1. ¿Flujo?;Anàlisi de Dades en Astrofísica;Facil;Calculo;1;0.25;4;4π;A
498;¿Cuántos filtros típicos en fotometría?;Anàlisi de Dades en Astrofísica;Facil;Calculo;1;Varios (U,B,V,R,I);10;0;B
499;Flujo L/(4πd²). L=4π, d=1. ¿Flujo?;Anàlisi de Dades en Astrofísica;Facil;Calculo;4π;4;0.25;1;D
500;¿Cuántos filtros típicos en fotometría?;Anàlisi de Dades en Astrofísica;Facil;Calculo;10;Varios (U,B,V,R,I);1;0;B
501;Flujo L/(4πd²). L=4π, d=1. ¿Flujo?;Anàlisi de Dades en Astrofísica;Facil;Calculo;1;4;4π;0.25;A
502;Luminosidad 4L0 distancia 2d0 ¿flujo ratio?;Anàlisi de Dades en Astrofísica;Media;Calculo;1;Ninguna de las anteriores;2;4;A
503;¿Cuáles son las raíces de r²+1=0?;Anàlisi de Dades en Astrofísica;Media;Calculo;r=0;r=-1;r=1;r=±i;D
504;Ley Stefan-Boltzmann L∝T⁴. Si T duplica, ¿L?;Anàlisi de Dades en Astrofísica;Media;Calculo;×2;×8;×4;×16;D
505;Paralaje 0.1 arcsec. ¿Distancia (pc)?;Anàlisi de Dades en Astrofísica;Media;Calculo;100;1;0.1;10;D
506;Ley Stefan-Boltzmann L∝T⁴. Si T duplica, ¿L?;Anàlisi de Dades en Astrofísica;Media;Calculo;×8;×2;×4;×16;D
507;Paralaje 0.1 arcsec. ¿Distancia (pc)?;Anàlisi de Dades en Astrofísica;Media;Calculo;100;1;0.1;10;D
508;m - M = 5 log(d/10). Si d=100 pc, m-M?;Anàlisi de Dades en Astrofísica;Media;Calculo;2.5;0;10;5;D
509;z=1 en redshift. ¿Factor expansión?;Anàlisi de Dades en Astrofísica;Media;Calculo;1;2;0;10;B
510;Ley Stefan-Boltzmann L∝T⁴. Si T duplica, ¿L?;Anàlisi de Dades en Astrofísica;Media;Calculo;×4;×8;×2;×16;D
511;Paralaje 0.1 arcsec. ¿Distancia (pc)?;Anàlisi de Dades en Astrofísica;Media;Calculo;0.1;10;1;100;B
512;m - M = 5 log(d/10). Si d=100 pc, m-M?;Anàlisi de Dades en Astrofísica;Media;Calculo;5;0;2.5;10;A
513;z=1 en redshift. ¿Factor expansión?;Anàlisi de Dades en Astrofísica;Media;Calculo;10;1;0;2;D
514;¿Cuántos bits para 8 símbolos equiprobables?;Anàlisi de Dades en Astrofísica;Dificil;Calculo;2;4;8;3;D
515;Coef reducción caballera 0.5 profundidad 20 ¿dibujo?;Anàlisi de Dades en Astrofísica;Dificil;Calculo;20;40;10;Ninguna de las anteriores;C
516;¿Cuál es el área de un triángulo equilátero de lado 2?;Anàlisi de Dades en Astrofísica;Dificil;Calculo;4;2;1;raíz(3);D
517;¿Cuántas magnitudes de diferencia = factor 100 en flujo?;Anàlisi de Dades en Astrofísica;Dificil;Calculo;2;10;100;5;D
518;¿Cuántos grados de libertad en t para n=20?;Anàlisi de Dades en Astrofísica;Dificil;Calculo;20;19;21;40;B
519;Redshift z=2 ¿desplazamiento líneas?;Anàlisi de Dades en Astrofísica;Dificil;Calculo;3x;3;2;1;A
520;Temperatura 2x ¿flujo cuerpo negro ratio?;Anàlisi de Dades en Astrofísica;Dificil;Calculo;16;Ninguna de las anteriores;4;2;A
521;¿Cuántos grados de libertad en spline cúbico con 4 nodos?;Anàlisi de Dades en Astrofísica;Dificil;Calculo;8;2;4;6;C
